a,b,windows,mean_adf_p,frac_significant,mean_beta,std_beta,stability_score
MSFT,AMD,55,0.20200399446632267,0.43636363636363634,0.4068836333547986,0.1715352837425681,0.3505959944923523
MSFT,NVDA,55,0.16442988319948454,0.38181818181818183,0.3428862466720453,0.12097157921731012,0.32133239220952675
META,NVDA,55,0.281111568658334,0.2909090909090909,0.5916771168390453,0.24764037527832386,0.16708890326992898
MSFT,GOOG,55,0.23023663677880143,0.2727272727272727,0.7013861107585431,0.22923907256262244,0.1581077364459615
MSFT,ORCL,55,0.23204768161972336,0.3090909090909091,0.6359829929378807,0.3228514994252636,0.1476651593782773
MSFT,QCOM,55,0.34711806088536606,0.23636363636363636,0.36392075326238044,0.2607920731483666,0.10596759978945305
ORCL,CRM,55,0.39330775193985373,0.2545454545454545,0.4938230738201919,0.29977344376599324,0.1046587326624579
AAPL,NVDA,55,0.2632112800995007,0.2,0.331561041796667,0.22400155718140716,0.08799922140929643
GOOG,NVDA,55,0.25799732995297603,0.18181818181818182,0.4043342060503893,0.22002742195617186,0.07180447084009589
MSFT,CRM,55,0.32639791049482986,0.21818181818181817,0.5043147510913364,0.2952452024394324,0.07055921696210196
MSFT,ADBE,55,0.4057304371119437,0.23636363636363636,0.4391850274509463,0.3423739603351325,0.0651766561960701
GOOG,ORCL,55,0.20917759826752602,0.2727272727272727,0.7186239591160885,0.44029785122566834,0.05257834711443854
MSFT,META,55,0.2255480668606548,0.18181818181818182,0.4124353028736319,0.26200474348249314,0.05081581007693525
AMD,CRM,55,0.2234012796644603,0.32727272727272727,0.9177481174590296,0.5820779000179381,0.036233777263758205
GOOG,AMD,55,0.35299017874792915,0.16363636363636364,0.3683697952527508,0.266252169905329,0.030510278683699127
AAPL,AMD,55,0.25955739075181655,0.18181818181818182,0.2918758668003257,0.3504942830996453,0.0065710402683591684
CSCO,QCOM,55,0.4024420885561379,0.18181818181818182,0.04160273886925821,0.3651524080483295,-0.0007580222059829222
INTC,ADBE,55,0.26427228022998894,0.2545454545454545,0.5189241997971888,0.5320187900380026,-0.011463940473546763
AAPL,CRM,55,0.29892196119371645,0.16363636363636364,0.3825226704806232,0.356291179046674,-0.01450922588697337
MSFT,INTC,55,0.315348425789002,0.23636363636363636,0.183473092149858,0.5295499198221457,-0.0284113235474365
GOOG,CRM,55,0.38140259748226935,0.10909090909090909,0.5213249757783809,0.3042586988384868,-0.0430384403283343
ORCL,QCOM,55,0.5027514561304741,0.10909090909090909,0.11221832078983464,0.31536349362597027,-0.04859083772207605
AAPL,ORCL,55,0.26463876835603245,0.21818181818181817,0.5759038452672874,0.55447921299631,-0.05905778831633682
AAPL,GOOG,55,0.3399933205759952,0.10909090909090909,0.6031597413135286,0.3431935035982357,-0.06250584270820876
ADBE,QCOM,55,0.4529666205222121,0.16363636363636364,0.4323101278448899,0.4692269219719038,-0.07097709734958826
AMD,ADBE,55,0.3417907997818683,0.18181818181818182,0.8293602948345324,0.5064314920376392,-0.07139756420063775
GOOG,QCOM,55,0.41541429720794676,0.10909090909090909,0.41268121567990773,0.3642357746886,-0.07302697825339093
AAPL,MSFT,55,0.32287634376018626,0.14545454545454545,0.7802669721178546,0.45833421468442326,-0.08371256188766618
AMD,QCOM,55,0.39322188261337393,0.14545454545454545,0.9882102793875298,0.45975578262981087,-0.08442334586035999
AAPL,QCOM,55,0.39726376389889756,0.05454545454545454,0.3638673076936159,0.29389734090655256,-0.09240321590782175
NVDA,AMD,55,0.3966755201082743,0.2,0.9824911099010581,0.602233193671141,-0.1011165968355705
AAPL,ADBE,55,0.38020662284413304,0.12727272727272726,0.41588623969644106,0.4668269603843713,-0.1061407529194584
CRM,QCOM,55,0.413564383401203,0.12727272727272726,0.31316894935349665,0.46785827609545744,-0.10665641077500146
GOOG,INTC,55,0.28505068095029495,0.18181818181818182,0.26781863506259534,0.5898580063444687,-0.11311082135405254
ADBE,CRM,55,0.32798532381971485,0.10909090909090909,0.6211156000843714,0.4790549513415347,-0.13043656657985825
META,ORCL,55,0.2869681529433919,0.21818181818181817,1.2257490780097478,0.6994324420084217,-0.13153440282239268
GOOG,META,55,0.2951910692022299,0.07272727272727272,0.5593164903624563,0.40976110088737544,-0.132153277716415
INTC,QCOM,55,0.43328842973362364,0.2,0.3510018767693269,0.675100074152388,-0.137550037076194
AAPL,CSCO,55,0.37123700412929816,0.09090909090909091,0.5135376864743151,0.4710901800125995,-0.14463599909720884
AAPL,INTC,55,0.24578945246257708,0.10909090909090909,-0.052917212999856834,0.5226073851952487,-0.1522127835067153
INTC,CRM,55,0.3316509967023432,0.12727272727272726,0.21979190064464263,0.5649516811733549,-0.1552031133139502
AAPL,META,55,0.3312922115429345,0.03636363636363636,0.3790058165551587,0.4096669637898276,-0.16846984553127742
META,CRM,55,0.3516781597069254,0.07272727272727272,1.1303826361397713,0.5014527887945628,-0.17799912167000867
MSFT,CSCO,55,0.2832169582341972,0.21818181818181817,0.4538372856567448,0.804514947788145,-0.18407565571225434
ADBE,ORCL,55,0.280398393102537,0.16363636363636364,0.7304744968028875,0.7020484274176589,-0.18738785007246583
META,AMD,55,0.3543246133167181,0.09090909090909091,0.6557821791083204,0.5818006461934664,-0.19999123218764228
NVDA,CRM,55,0.39401735872230964,0.10909090909090909,1.3493998070075652,0.6261770459229777,-0.2039976138705798
INTC,ORCL,55,0.31301161829340735,0.16363636363636364,0.03139081697714334,0.7405189114389507,-0.2066230920831117
NVDA,ORCL,55,0.25486062998825354,0.18181818181818182,1.8287197707868363,0.7800480407532022,-0.2082058385584193
GOOG,ADBE,55,0.3016809690419617,0.07272727272727272,0.4508972465036926,0.5663095568626135,-0.21042750570403404
ORCL,CSCO,55,0.26978376226941175,0.10909090909090909,0.9271770920815335,0.6634369785206214,-0.22262758016940165
AMD,ORCL,55,0.3777994639777218,0.14545454545454545,0.8918783607025255,0.7550337267609694,-0.23206231792593923
INTC,CSCO,55,0.3729944826088378,0.18181818181818182,0.29553065706832365,0.8703737623512985,-0.2533686993574674
NVDA,QCOM,55,0.4768669992235142,0.09090909090909091,0.9268384603575139,0.7488032232992458,-0.283492520740532
CRM,CSCO,55,0.39235753619599545,0.10909090909090909,0.47774992733281335,0.8306489388736099,-0.3062335603458959
GOOG,CSCO,55,0.29306608805082873,0.09090909090909091,0.6425116863451429,0.8191006881722946,-0.3186412531770564
META,ADBE,55,0.3455078166969428,0.09090909090909091,0.7088691724730859,0.8318150021674596,-0.32499841017463893
ADBE,CSCO,55,0.3647332659623522,0.09090909090909091,0.8051976707008581,0.8509591397277073,-0.3345704789547628
META,QCOM,55,0.4993032770614535,0.01818181818181818,0.48682348393570324,0.7066431370578224,-0.33513975034709304
AMD,INTC,55,0.33506330696513303,0.16363636363636364,0.22618967851158867,1.0008421383268238,-0.33678470552704826
META,INTC,55,0.4193299693518597,0.14545454545454545,0.659772851078008,1.0641652947997886,-0.38662810194534886
NVDA,ADBE,55,0.3855234965304322,0.10909090909090909,0.7797705626519884,1.225425285334135,-0.5036217335761584
NVDA,INTC,55,0.40269777361645565,0.12727272727272726,0.18987474423236386,1.4412928389982511,-0.5933736922263984
META,CSCO,55,0.3620733950268068,0.14545454545454545,0.9734956053419419,1.5189331040910479,-0.6140120065909784
AMD,CSCO,55,0.3538922865506968,0.05454545454545454,0.4858100309299073,1.4520303092299292,-0.67146970006951
NVDA,CSCO,55,0.298948536024532,0.12727272727272726,1.3238160743982847,2.3717122355792015,-1.0585833905168736
