as_of,a,b,beta,adf_stat,adf_pvalue
2020-12-30,AAPL,MSFT,1.743992348047736,-1.9770761622117168,0.2967139600361224
2020-12-30,AAPL,GOOG,1.7090778011184165,-1.9423516699492558,0.31240717692859543
2020-12-30,AAPL,META,1.2788899441714714,-1.8929873669732207,0.33536723208511743
2020-12-30,AAPL,NVDA,0.7140187707620205,-1.8926131126081949,0.335544075460704
2020-12-30,AAPL,AMD,0.8591059572523883,-2.9262627590171872,0.042378125296041486
2020-12-30,AAPL,INTC,-1.173687096557248,-1.9066791644360441,0.3289255742868804
2020-12-30,AAPL,ADBE,1.395353647884377,-2.494415545210727,0.1168390023564721
2020-12-30,AAPL,ORCL,2.562299781603455,-3.0685978302503094,0.028966068672677505
2020-12-30,AAPL,CRM,1.1523205710299658,-2.3784164214147907,0.14792110287050347
2020-12-30,AAPL,CSCO,0.15411727881567072,-0.27593566559238586,0.9288440890688836
2020-12-30,AAPL,QCOM,0.8835035512613089,-1.92551048850333,0.32015696058344323
2020-12-30,MSFT,GOOG,0.8900771863856293,-2.053974748324499,0.2634194971778696
2020-12-30,MSFT,META,0.6699041959489971,-2.987216681972633,0.036105569819868316
2020-12-30,MSFT,NVDA,0.38269010969538936,-3.1123828928206683,0.02565026777652131
2020-12-30,MSFT,AMD,0.42976299676496893,-2.7759358028341454,0.06179423415960966
2020-12-30,MSFT,INTC,-0.44422046641472057,-2.367689232430758,0.1510642774879622
2020-12-30,MSFT,ADBE,0.7505894667220177,-2.8810551827412465,0.047595791183983535
2020-12-30,MSFT,ORCL,1.373622998241203,-2.6546190772120943,0.08222568656565415
2020-12-30,MSFT,CRM,0.5774857171197576,-1.895303366016851,0.33427377116608514
2020-12-30,MSFT,CSCO,0.24932766946244556,-1.458009223149982,0.5541719733721144
2020-12-30,MSFT,QCOM,0.42595259290069115,-2.6508647735134736,0.08293349543563144
2020-12-30,GOOG,META,0.637276332353403,-1.9114135287688663,0.32671102325460255
2020-12-30,GOOG,NVDA,0.30524789212917447,-2.7353654383571544,0.0681158732594883
2020-12-30,GOOG,AMD,0.37672505676255585,-2.8788542246928857,0.04786279956722688
2020-12-30,GOOG,INTC,-0.34230790288338664,-2.0869412180008085,0.24979792077248036
2020-12-30,GOOG,ADBE,0.6234450883246241,-2.6675713118656548,0.07981990570422598
2020-12-30,GOOG,ORCL,1.2530938667989024,-3.5183838628002824,0.007527320851258951
2020-12-30,GOOG,CRM,0.5409793487108134,-1.852998127787473,0.3544847709131666
2020-12-30,GOOG,CSCO,0.4359881208275733,-0.9399898962563656,0.7745181711285583
2020-12-30,GOOG,QCOM,0.43657496876766133,-2.374048801181142,0.14919528926343428
2020-12-30,META,NVDA,0.504394112617668,-2.4364784462815554,0.13170415852265466
2020-12-30,META,AMD,0.5861733555785231,-2.1723681663844525,0.21642660290502702
2020-12-30,META,INTC,-0.6051084053988975,-1.7369008737459943,0.4122072790376657
2020-12-30,META,ADBE,1.0102920600754768,-2.8099966229585798,0.05685994898772815
2020-12-30,META,ORCL,1.8740267399334194,-2.5930164672006546,0.09444922890920598
2020-12-30,META,CRM,0.850266659292207,-2.4628443239055975,0.12477836521796404
2020-12-30,META,CSCO,0.4223426671912256,-0.8480417135320178,0.8046014408962294
2020-12-30,META,QCOM,0.6231893527778432,-1.5001555561745517,0.5334343860915606
2020-12-30,NVDA,AMD,1.125400144574656,-2.6816033287140892,0.07727615525787282
2020-12-30,NVDA,INTC,-1.6315614089417432,-2.3038273333502013,0.17073655153696016
2020-12-30,NVDA,ADBE,1.8439266640407292,-2.5277291888344546,0.10887244975248472
2020-12-30,NVDA,ORCL,3.2260845465474137,-2.918454700094353,0.043243670581463806
2020-12-30,NVDA,CRM,1.4742807776768847,-2.0840765592649224,0.25096551303192105
2020-12-30,NVDA,CSCO,-0.2732033837439268,-0.948686504669954,0.7715169526706607
2020-12-30,NVDA,QCOM,1.0947703539162796,-2.1399975789841474,0.22873835948070204
2020-12-30,AMD,INTC,-1.4657181352894622,-2.5506964258888485,0.10362135744645556
2020-12-30,AMD,ADBE,1.4295760428478264,-2.18622892556547,0.2112814732010243
2020-12-30,AMD,ORCL,2.7224308268304274,-3.373107198680283,0.011910530153970481
2020-12-30,AMD,CRM,1.1995479585420707,-1.9267111708418254,0.31960152914516265
2020-12-30,AMD,CSCO,-0.11271660754710194,-0.6364163173575496,0.8625393238641608
2020-12-30,AMD,QCOM,0.9537939430947278,-2.363994717454645,0.15215750229937203
2020-12-30,INTC,ADBE,-0.32075552922620176,-3.19543318874775,0.020250550679308615
2020-12-30,INTC,ORCL,-0.36148094780075163,-2.874245058551784,0.04842596446041459
2020-12-30,INTC,CRM,-0.28263609606868345,-3.0469924111823414,0.03073289490189948
2020-12-30,INTC,CSCO,0.7295330418700778,-1.5986889971395757,0.4842520015391536
2020-12-30,INTC,QCOM,-0.2530596412298079,-3.2836302329623717,0.015626249910076224
2020-12-30,ADBE,ORCL,1.7828810566979594,-2.8874544746443247,0.046826442210232605
2020-12-30,ADBE,CRM,0.7970555552043702,-1.9312818417080173,0.3174912209787545
2020-12-30,ADBE,CSCO,0.1315870376895385,-0.8846038319606804,0.7930003057732048
2020-12-30,ADBE,QCOM,0.5733843855433141,-2.1058358748703694,0.2421744513846119
2020-12-30,ORCL,CRM,0.34362332628753606,-2.950941065469656,0.039736867532706444
2020-12-30,ORCL,CSCO,0.2379526355030419,-1.066007386391913,0.7284357137236507
2020-12-30,ORCL,QCOM,0.26196914582042247,-3.9653794869651793,0.0016030477021330692
2020-12-30,CRM,CSCO,-0.11813079234403101,-1.0631731029493745,0.7295324759635011
2020-12-30,CRM,QCOM,0.6686216772621842,-2.426315938128824,0.13444625489114814
2020-12-30,CSCO,QCOM,0.010420365446858579,-2.544833272682015,0.10494337286747041
2021-02-01,AAPL,MSFT,1.9080518229154997,-2.221257173064335,0.198620982058329
2021-02-01,AAPL,GOOG,1.6870791422188178,-2.603900176561104,0.09219385657114226
2021-02-01,AAPL,META,1.3179033674497258,-1.3692073520276595,0.5969462704137749
2021-02-01,AAPL,NVDA,0.8071312534458319,-2.9754528856660487,0.03725125417898687
2021-02-01,AAPL,AMD,0.8909457338681642,-3.0818391802733034,0.02792669034060542
2021-02-01,AAPL,INTC,-1.0560707462020769,-1.2800698482386976,0.6382403468614848
2021-02-01,AAPL,ADBE,1.499801694310818,-1.5881821726119247,0.48952724746490056
2021-02-01,AAPL,ORCL,2.5519667106093666,-3.611987141059899,0.005535951533070359
2021-02-01,AAPL,CRM,1.1884304883132044,-2.3851982231739806,0.1459577555542398
