entry_date,exit_date,pnl,duration,pair
2021-04-06,2021-11-29,-1095.3392239484529,237,MSFT-AMD
2022-04-04,2022-05-06,2900.0203710932838,32,MSFT-AMD
2022-05-16,2022-06-24,2093.7656754661584,39,MSFT-AMD
2022-10-25,2022-10-27,3181.9429727352253,2,MSFT-AMD
2023-04-10,2023-12-29,-3846.482511577866,263,MSFT-AMD
2024-06-12,2024-10-02,2586.758150571419,112,MSFT-AMD
2024-12-06,2025-03-25,1946.0630552325165,109,MSFT-AMD
2021-01-28,2021-06-03,2437.424104973077,126,MSFT-NVDA
2021-07-19,2021-11-29,129.11075393918145,133,MSFT-NVDA
2022-06-14,2022-06-27,3101.835395941089,13,MSFT-NVDA
2022-08-18,2022-09-16,1992.3542024206836,29,MSFT-NVDA
2022-10-28,2023-04-10,-813.8975329035893,164,MSFT-NVDA
2023-11-17,2024-02-06,1194.4997885600023,81,MSFT-NVDA
2024-05-01,2024-05-23,1984.5190493686096,22,MSFT-NVDA
2024-05-31,2024-07-08,3336.761776137093,38,MSFT-NVDA
2024-08-19,2024-12-13,2035.4640110343025,116,MSFT-NVDA
2021-02-22,2021-03-05,3676.381625500522,11,META-NVDA
2021-10-08,2022-09-02,-20563.105744172775,329,META-NVDA
2022-10-28,2023-02-03,19951.69804157513,98,META-NVDA
2024-02-05,2024-04-01,5321.735779855953,56,META-NVDA
2024-05-29,2024-08-07,4377.203258917507,70,META-NVDA
2025-01-28,2025-04-14,6287.286389517365,76,META-NVDA
2021-04-30,2021-07-01,2268.1066695540794,62,MSFT-GOOG
2021-10-25,2022-02-03,1149.7925473429204,101,MSFT-GOOG
2022-10-12,2022-10-25,2890.2476224076527,13,MSFT-GOOG
2022-12-09,2023-01-06,2308.7787219835154,28,MSFT-GOOG
2023-02-09,2023-08-08,-396.455193903108,180,MSFT-GOOG
2023-12-01,2024-04-19,1985.2134670071246,140,MSFT-GOOG
2024-12-31,2025-04-10,2034.750189124301,100,MSFT-GOOG
2021-08-23,2021-09-29,3934.2729894202494,37,MSFT-ORCL
2021-10-29,2021-12-17,3420.170770813871,49,MSFT-ORCL
2021-12-23,2022-03-14,3979.418945744008,81,MSFT-ORCL
2022-09-14,2023-03-16,-1018.4092640057497,183,MSFT-ORCL
2023-10-26,2024-06-13,-3717.3818323667947,231,MSFT-ORCL
2024-09-17,2025-01-28,1061.9591784571676,133,MSFT-ORCL
