Pair,TrainSharpe,OOSSharpe
MSFT-AMD,0.025547303858438203,0.7208693858565481
MSFT-NVDA,0.3781550373604849,1.1608825911573997
META-NVDA,0.13163281864518905,1.2725056419784466
MSFT-GOOG,0.38591265721213663,0.2259534526082525
MSFT-ORCL,0.3757209420139309,0.09466133390184392
MSFT-QCOM,-0.15313856782228116,-0.5222290912724685
ORCL-CRM,0.16016736880528917,-0.8642152589395836
AAPL-NVDA,0.84827402637519,-0.040278435827172734
GOOG-NVDA,-0.06948838992637876,0.9834560874402808
MSFT-CRM,-0.2344174010287637,-0.08123205335434963
MSFT-ADBE,-0.13661903100462447,-0.773101200016417
GOOG-ORCL,0.2657704255721014,0.9469825180798882
MSFT-META,-0.25236832253911834,1.5238227793262265
AMD-CRM,0.7348944304638689,0.35798357974444833
GOOG-AMD,0.08047745203725047,1.2496273028116849
AAPL-AMD,0.9898241249115965,-0.038851576083751026
CSCO-QCOM,0.3560439023338407,-0.10355282089894374
INTC-ADBE,-0.07906354477136934,0.10672691924023854
AAPL-CRM,0.2985282644417134,0.9092678997951688
MSFT-INTC,-0.23350523234374998,-0.7885071651753375
GOOG-CRM,0.050263110468069666,0.3505370802638262
ORCL-QCOM,-0.2669949085644113,-0.8392561922115284
AAPL-ORCL,0.19350808797902982,0.061041010979977293
AAPL-GOOG,0.8376323982932372,0.3969779866527479
ADBE-QCOM,-0.46076201021029417,0.720469791976357
AMD-ADBE,0.4427118058717993,0.19856774054079718
GOOG-QCOM,-0.4867392894234326,0.9609285290070729
AAPL-MSFT,0.7059136526799296,-0.5535181887367702
AMD-QCOM,-0.05780583563605343,0.8879871067778666
AAPL-QCOM,0.3124517967583305,1.153573057848839
NVDA-AMD,-0.04815202971964442,-0.7078244007761162
AAPL-ADBE,0.29988536394867243,-0.25176558789089293
CRM-QCOM,-0.01113772520779172,0.5818636792427002
GOOG-INTC,-0.13661535402219138,-0.48680601399809864
ADBE-CRM,0.63156246469784,0.9084526403527182
META-ORCL,0.2082320082942712,0.334188916066752
GOOG-META,-0.01114286626424105,0.891745583313683
INTC-QCOM,-0.3386420226630948,-0.04629742438916956
AAPL-CSCO,0.46643913460313774,-0.026437212862587645
AAPL-INTC,0.43765512052367267,0.5085386591892425
INTC-CRM,-0.28343803343834995,0.6870779838333689
AAPL-META,0.04530865536336928,-0.039438417898328824
META-CRM,0.7254935978769126,-0.07860676189666042
MSFT-CSCO,-0.3872200409482527,0.014721008670275213
ADBE-ORCL,-0.08773666992644709,-1.0726563018260362
META-AMD,-0.1892002622295299,-0.4397630232558687
NVDA-CRM,-0.44446732865952876,-0.35246735330829415
INTC-ORCL,-0.14355805658393567,0.49788966728100786
NVDA-ORCL,1.0086170412963027,-0.44808281656222293
GOOG-ADBE,-0.20229390837733086,0.11168750492976148
ORCL-CSCO,0.8302764350426001,0.04726662431162312
AMD-ORCL,0.3903961016120618,-0.1711395525038584
INTC-CSCO,-0.13266182992880218,0.5921794944566952
NVDA-QCOM,-0.6164781436122485,-0.43959614688786197
CRM-CSCO,0.6030179827257662,0.946720240743949
GOOG-CSCO,0.07258246607365752,0.23200452495512655
META-ADBE,0.0713327302512829,-1.319789280515126
ADBE-CSCO,0.030136320601334737,-0.6376689814753217
META-QCOM,-0.3034928348623317,-0.17364614991898805
AMD-INTC,0.38448802170864654,0.09586644586479046
META-INTC,0.09443112620212973,-0.5212886416404281
NVDA-ADBE,-0.33290940161795995,-0.9310877062051861
NVDA-INTC,-0.45265214627031675,-0.9020307661703574
META-CSCO,-0.23385551658305279,0.2839123642676657
AMD-CSCO,0.5842345497834043,-0.12895226449772093
NVDA-CSCO,-0.32795713262803555,-0.3661006785851821
